01,08/05/2016,A.A.L.D.,13:00,CRUZEIRO x SANTA TEREZINHA,15:00,A.A.L.D. x JUVENTOS
02,15/05/2016,MINAS,13:00,BAHIA x ESPLANADO,15:00,M.E.C x V. S. A
03,22/05/2016,SOCIAL,13:00,ESPLANADO  x CRUZEIRO,15:00, JUVENTOS X VILA
04,29/05/2016,SANTA TEREZINHA,13:00,A.A.L.D x M.E.C,15:00,SANTA TEREZINHA x BAHIA
05,05/06/2016,CRUZEIRO,13:00,ESPLANADO x M.E.C,15:00,CRUZEIRO x VILA
06,12/06/2016,VILA,13:00,JUVENTUDE X SANTA TEREZINHA,15:00,VILA X A.A.L.D
07,19/06/2016,MINAS,13:00,CRUZEIRO x BAHIA,15:00, M.E.C X VILA 
08,26/06/2016,SOCIAL,13:00,ESPLANADO x SANTA TEREZINHA,15:00,JUVENTOS X VILA
09,03/07/2016,VILA,13:00,VILA X ESPLANADO ,15:00,V. S. A X BAHIA
10,10/07/2016,SANTA TEREZINHA,13:00,JUVENTUS x M.E.C,15:00,SANTA TEREZINHA x A.A.L.D
11,17/07/2016,VILA,13:00,ESPLANADO x V.S.A,15:00,VILA X SANTA TEREZINHA
12,24/07/2016,A.A.L.D,13:00,CRUZEIRO x M.E.C,15:00,BAHIA x A.A.L.D
13,31/07/2016,CRUZEIRO,13:00,JUVENTOS X ESPLANADO,15:00,CRUZEIRO x V.S.A
14,07/08/2016,M.E.C,13:00,A.A.L.D x V.S.A,15:00,M.E.C X BAHIA
15,14/08/2016,SANTA TEREZINHA,13:00,A.A.L.D X CRUZEIRO ,15:00,M.E.C X SANTA TEREZINHA
16,21/08/2016,SOCIAL,13:00,BAHIA x JUVENTOS,15:00,VILA  x V.S.A
17,28/08/2016,CRUZEIRO,13:00,SANTA TEREZINHA X V.S.A,15:00,JUVENTOS  x CRUZEIRO
18,11/09/2016,A.A.L.D.,13:00,BAHIA X VILA,15:00,A.A.L.D x ESPLANADO
19,18/09/2016,A DEFINIR,13:00,SEMIFINAL,15:00,SEMIFINAL
20,25/09/2016,A DEFINIR,13:00,1 FINAL 2 DIV,15:00,1 FINAL 1 DIV
21,09/10/2016,A DEFINIR,13:00,2 FINAL 2 DIV,15:00,2 FINAL 1 DIV
